#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: 20USEM20000023
Date: 2022-06-20T17:16:56.707198Z
Institute: SFU
Operator: AR
Instrument Type: Smartscope Flash 302
Run Number: 2
Measurement program version: v1
#---Positions
#Location	X[mm]	Y[mm]
PB_3_B	2	86.7404	10.4597	0.5095
PB_3_C	2	87.6956	10.4962	0.5006
PB_3_D	2	90.8197	10.6206	0.4621
PB_4	2	85.8871	1.3918	0.5877
PB_4_A	2	86.9895	3.9622	0.5498
PB_4_B	2	87.4239	-1.0079	0.5935
PB_4_C	2	84.6771	-1.1845	0.6068
PB_4_D	2	84.4578	3.7973	0.6007
PB_5	2	60.3069	2.8953	0.5586
#---Other heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
C1	4	118.1214	5.7918	2.9264
C2	4	117.8925	9.2646	2.8606
C3	4	104.0160	10.0213	2.9134
C4	4	104.5027	1.4931	3.0158
Shield	4	70.0230	2.2321	5.6238
Shield_A	4	63.1815	-1.4125	5.7011
Shield_B	4	68.5533	-0.9451	5.6537
Shield_C	4	76.5736	-0.8274	5.7375
Shield_D	4	63.1022	5.5528	5.6223
Shield_E	4	72.1150	5.7345	5.4533
Shield_F	4	76.6123	5.2903	5.5748
