#---Header				
EC or Barrel: EC				
Module type: R2				
Module ref. Number: 20USEM2000023				
Date: 2022-06-23T22:23:29.614423Z				
Institute: SFU				
Operator: Archa Rajagopalan				
Instrument Type: Smartscope Flash 302				
Run Number: 3				
Measurement program version: v1				
#---Positions				
#Location	X[mm]	Y[mm]		
PB_3_B	2	86.7405	10.4606	0.5485
PB_3_C	2	87.6953	10.4974	0.5392
PB_3_D	2	90.8199	10.6215	0.4955
PB_4	2	85.8879	1.3917	0.6329
PB_4_A	2	86.9905	3.9626	0.6032
PB_4_B	2	87.4235	-1.0083	0.6397
PB_4_C	2	84.6778	-1.1836	0.6534
PB_4_D	2	84.4597	3.7962	0.6352
PB_5	2	60.3084	2.8958	0.5852
#---Other heights:				
#Location	Type	X[mm]	Y[mm]	Z[mm]
C1	4	118.1174	5.7876	2.9675
C2	4	117.8902	9.2646	2.8976
C3	4	104.0124	10.0209	2.9487
C4	4	104.4989	1.4922	3.0649
Shield_A	4	63.1742	-1.4099	5.751
Shield_B	4	68.5455	-0.9432	5.6985
Shield_C	4	76.566	-0.8251	5.7836
Shield_D	4	63.0927	5.5549	5.6608
Shield_E	4	72.1082	5.7352	5.4891
Shield_F	4	76.6074	5.2908	5.6104
