ID,X (mm),Y (mm)
H_R1H0_P1,8.085,58.421
H_R1H0_P2,108.671,61.185
PB_P1,70.939,44.617
PB_P2,107.332,33.586
H_R1H1_P1,3.633,20.527
H_R1H1_P2,111.731,23.126
