#---Header
EC or Barrel: EC
Module type: R1
Module ref. Number: 20USEM10000006
Date: 2022-03-08T15:58:34.000000Z
Institute: TRIUMF
Operator: Peter Speers
Instrument Type: Mitutoyo_CMM
Run Number: 1
Measurement program version: v1
#---Positions
#Bow	X[mm]	Y[mm]	Z[mm]
Sensor	0.9988	0.9903	0.0112
Sensor	10.3873	0.1423	0.0066
Sensor	19.7884	-0.5518	0.0043
Sensor	29.1997	-1.0921	0.0068
Sensor	38.6184	-1.4780	0.0038
Sensor	48.0423	-1.7099	0.0053
Sensor	57.4687	-1.7874	0.0030
Sensor	66.8951	-1.7105	0.0015
Sensor	76.3189	-1.4794	0.0030
Sensor	85.7378	-1.0940	0.0058
Sensor	95.1491	-0.5545	0.0064
Sensor	104.5514	0.1487	0.0079
Sensor	113.9389	0.9864	0.0156
Sensor	1.9800	9.2900	-0.0046
Sensor	11.2229	8.4582	-0.0051
Sensor	20.4879	7.7767	-0.0037
Sensor	29.7629	7.2471	-0.0001
Sensor	39.0453	6.8692	0.0001
Sensor	48.3326	6.6434	-0.0004
Sensor	57.6225	6.5697	-0.0023
Sensor	66.9122	6.6481	-0.0031
Sensor	76.1994	6.8785	-0.0052
Sensor	85.4817	7.2610	-0.0040
Sensor	94.7563	7.7953	-0.0045
Sensor	104.0210	8.4813	-0.0020
Sensor	113.2732	9.3192	0.0001
Sensor	2.9395	17.4937	-0.0086
Sensor	12.0563	16.6756	-0.0042
Sensor	21.1853	16.0068	-0.0014
Sensor	30.3241	15.4876	-0.0004
Sensor	39.4700	15.1180	0.0015
Sensor	48.6209	14.8983	-0.0012
Sensor	57.7740	14.8283	-0.0011
Sensor	66.9368	14.9071	-0.0010
Sensor	76.0874	15.1368	-0.0028
Sensor	85.2329	15.5162	-0.0005
Sensor	94.3711	16.0454	-0.0046
Sensor	103.4994	16.7241	-0.0062
Sensor	112.6153	17.5522	-0.0061
Sensor	66.4779	30.5690	0.0009
Sensor	75.3891	30.7901	0.0042
Sensor	84.2956	31.1575	0.0039
Sensor	93.1950	31.6710	-0.0021
Sensor	102.0943	32.3295	-0.0024
Sensor	110.9719	33.1352	-0.0048
Sensor	30.1301	32.6700	0.0026
Sensor	39.0053	32.2953	0.0003
Sensor	47.8954	32.0650	0.0015
Sensor	5.7400	41.0303	-0.0060
Sensor	14.4913	40.2529	-0.0036
Sensor	23.2540	39.6194	0.0004
Sensor	32.0258	39.1295	0.0018
Sensor	40.8047	38.7838	0.0017
Sensor	49.5881	38.5821	0.0035
Sensor	33.1389	44.9803	0.0002
Sensor	41.8115	44.6534	0.0016
Sensor	50.5081	44.4663	0.0006
Sensor	59.1967	44.4231	-0.0002
Sensor	67.8849	44.5224	-0.0014
Sensor	66.1529	46.4716	-0.0007
Sensor	74.8057	46.6849	0.0046
Sensor	83.4539	47.0400	0.0037
Sensor	92.0949	47.5371	-0.0009
Sensor	100.7268	48.1757	-0.0048
Sensor	109.3471	48.9559	-0.0068
Sensor	8.4899	64.2902	-0.0049
Sensor	16.8315	63.5573	-0.0070
Sensor	25.1939	62.9604	-0.0033
Sensor	33.5648	62.5003	-0.0013
Sensor	41.9422	62.1773	0.0003
Sensor	50.3237	61.9915	-0.0027
Sensor	58.7071	61.9430	-0.0035
Sensor	67.0902	62.0318	-0.0036
Sensor	75.4708	62.2576	-0.0021
Sensor	83.8466	62.6207	-0.0033
Sensor	92.2150	63.1210	-0.0034
Sensor	100.5745	63.7580	-0.0048
Sensor	108.9320	64.5308	-0.0080
Sensor	8.8489	67.3302	-0.0015
Sensor	17.1502	66.6019	-0.0041
Sensor	25.4625	66.0095	-0.0010
Sensor	33.7835	65.5533	0.0007
Sensor	42.1105	65.2334	0.0003
Sensor	50.4418	65.0499	0.0014
Sensor	58.7750	65.0027	-0.0019
Sensor	67.1078	65.0919	-0.0012
Sensor	75.4381	65.3176	0.0013
Sensor	83.7634	65.6796	-0.0010
Sensor	92.0820	66.1779	-0.0016
Sensor	100.3911	66.8123	-0.0052
Sensor	108.6888	67.5825	-0.0050
Sensor	9.8409	75.6388	-0.0048
Sensor	17.9957	74.9167	-0.0065
Sensor	26.1730	74.3467	-0.0045
Sensor	34.3575	73.9010	-0.0063
Sensor	42.5483	73.5895	-0.0040
Sensor	50.7430	73.4118	-0.0046
Sensor	58.9397	73.3685	-0.0042
Sensor	67.1358	73.4592	-0.0041
Sensor	75.3295	73.6841	-0.0029
Sensor	83.5182	74.0433	-0.0026
Sensor	91.7001	74.5364	-0.0046
Sensor	99.8728	75.1633	-0.0044
Sensor	108.0341	75.9239	-0.0028
Sensor	10.8101	83.9201	0.0102
Sensor	18.8399	83.2215	0.0094
Sensor	26.8799	82.6546	0.0086
Sensor	34.9283	82.2193	0.0078
Sensor	42.9826	81.9159	0.0077
Sensor	51.0409	81.7442	0.0070
Sensor	59.1008	81.7047	0.0065
Sensor	67.1604	81.7971	0.0064
Sensor	75.2173	82.0213	0.0083
Sensor	83.2695	82.3775	0.0081
Sensor	91.3148	82.8654	0.0097
Sensor	99.3510	83.4849	0.0111
Sensor	107.3760	84.2359	0.0144
