#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: 20USEM20000023
Date: 2022-06-23T19:46:00.978853Z
Institute: SFU
Operator: AR
Instrument Type: Smartscope_Flash_302
Run Number: 2
Measurement program version: v1
#---Positions
#Bow	X[mm]	Y[mm]	Z[mm]
Sensor	1.0004	0.4989	0.0177
Sensor	9.3510	-0.2663	0.0205
Sensor	17.7095	-0.9251	0.0164
Sensor	26.0751	-1.4739	0.0149
Sensor	34.4464	-1.9135	0.0114
Sensor	42.8234	-2.2436	0.0108
Sensor	51.2026	-2.4638	0.0113
Sensor	59.5867	-2.5712	0.0087
Sensor	67.9711	-2.5743	0.0084
Sensor	76.3508	-2.4646	0.0157
Sensor	84.7330	-2.2445	0.0085
Sensor	93.1081	-1.9151	0.0207
Sensor	101.4811	-1.4748	0.0231
Sensor	109.8448	-0.9272	0.0188
Sensor	118.2007	-0.2694	0.0248
Sensor	126.5494	0.4997	0.0220
Sensor	43.2659	6.4479	-0.0186
Sensor	51.5370	6.2368	-0.0206
Sensor	59.8066	6.1302	-0.0217
Sensor	4.4439	29.2109	-0.0339
Sensor	12.4187	28.4855	-0.0158
Sensor	20.3984	27.8640	-0.0111
Sensor	28.3858	27.3486	-0.0090
Sensor	36.3786	26.9364	-0.0101
Sensor	44.3778	26.6308	-0.0115
Sensor	52.3790	26.4279	-0.0120
Sensor	60.3828	26.3316	-0.0137
Sensor	68.3883	26.3380	-0.0138
Sensor	76.3922	26.4517	-0.0128
Sensor	84.3917	26.6702	-0.0154
Sensor	92.3906	26.9919	-0.0093
Sensor	100.3829	27.4189	-0.0158
Sensor	108.3713	27.9511	-0.0117
Sensor	116.3480	28.5891	-0.0156
Sensor	124.3191	29.3305	-0.0202
Sensor	5.1496	35.0780	-0.0122
Sensor	13.0457	34.3650	-0.0105
Sensor	20.9517	33.7513	-0.0086
Sensor	28.8607	33.2426	-0.0057
Sensor	36.7745	32.8372	-0.0056
Sensor	44.6974	32.5340	-0.0066
Sensor	52.6236	32.3362	-0.0069
Sensor	60.5492	32.2405	-0.0071
Sensor	68.4751	32.2502	-0.0079
Sensor	76.4003	32.3632	-0.0107
Sensor	84.3251	32.5819	-0.0086
Sensor	92.2453	32.9029	-0.0148
Sensor	100.1597	33.3265	-0.0101
Sensor	108.0701	33.8565	-0.0103
Sensor	115.9718	34.4888	-0.0111
Sensor	123.8621	35.2230	-0.0154
Sensor	6.1900	43.7178	-0.0166
Sensor	13.9740	43.0172	-0.0046
Sensor	21.7633	42.4156	-0.0032
Sensor	29.5605	41.9165	-0.0070
Sensor	37.3599	41.5196	-0.0040
Sensor	45.1704	41.2231	-0.0026
Sensor	52.9802	41.0306	-0.0027
Sensor	60.7933	40.9399	0.0041
Sensor	68.6046	40.9527	0.0024
Sensor	76.4161	41.0663	0.0047
Sensor	84.2270	41.2830	0.0016
Sensor	92.0321	41.6021	0.0023
Sensor	99.8341	42.0235	-0.0013
Sensor	107.6300	42.5478	-0.0053
Sensor	115.4166	43.1731	-0.0069
Sensor	123.1959	43.9002	-0.0124
Sensor	7.2190	52.3681	-0.0067
Sensor	14.8909	51.6807	-0.0093
Sensor	22.5667	51.0914	0.0040
Sensor	30.2500	50.6002	-0.0025
Sensor	37.9353	50.2107	0.0034
Sensor	45.6320	49.9237	0.0022
Sensor	53.3287	49.7352	0.0040
Sensor	61.0254	49.6469	0.0027
Sensor	68.7246	49.6616	0.0048
Sensor	76.4213	49.7752	0.0043
Sensor	84.1176	49.9926	0.0029
Sensor	91.8110	50.3101	0.0010
Sensor	99.4960	50.7278	-0.0006
Sensor	107.1792	51.2460	-0.0023
Sensor	114.8520	51.8662	-0.0083
Sensor	122.5172	52.5843	-0.0105
Sensor	8.2568	61.0181	0.0161
Sensor	15.8178	60.3427	0.0182
Sensor	23.3788	59.7644	0.0229
Sensor	30.9472	59.2846	0.0238
Sensor	38.5191	58.9040	0.0249
Sensor	46.1014	58.6222	0.0171
Sensor	53.6862	58.4394	0.0068
Sensor	61.2682	58.3577	0.0212
Sensor	68.8514	58.3740	0.0091
Sensor	76.4363	58.4897	0.0162
Sensor	84.0168	58.7052	0.0144
Sensor	91.5975	59.0207	0.0180
Sensor	99.1681	59.4341	0.0143
Sensor	106.7367	59.9475	0.0120
Sensor	114.2945	60.5588	0.0116
Sensor	121.8463	61.2718	0.0069
