#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: 20USEM20000023Akmal
Date: 2022-08-11T22:24:03.365323Z
Institute: SFU
Operator: AR
Instrument Type: Smartscope_Flash_302
Run Number: 4
Measurement program version: v1
#---Bow
#Locations	X[mm]	Y[mm]	Z[mm]
Sensor	0.9990	0.5011	-0.0333
Sensor	9.3515	-0.2671	-0.0205
Sensor	17.7105	-0.9257	-0.0095
Sensor	26.0719	-1.4736	-0.0027
Sensor	34.4445	-1.9136	-0.0003
Sensor	42.8236	-2.2432	0.0050
Sensor	51.2031	-2.4625	0.0074
Sensor	59.5844	-2.5735	0.0093
Sensor	67.9685	-2.5747	0.0128
Sensor	76.3442	-2.5116	0.0173
Sensor	84.7307	-2.2446	0.0178
Sensor	93.1073	-1.9142	0.0203
Sensor	101.4811	-1.4748	0.0164
Sensor	109.8444	-0.9256	0.0073
Sensor	118.2001	-0.2678	-0.0089
Sensor	126.5493	0.4992	-0.0309
Sensor	43.2828	6.4459	0.0024
Sensor	51.5615	6.2337	-0.0013
Sensor	59.8372	6.1277	0.0042
Sensor	4.4895	29.2061	-0.0391
Sensor	12.4034	28.4881	-0.0163
Sensor	20.3996	27.8652	-0.0090
Sensor	28.3985	27.3477	-0.0010
Sensor	36.4104	26.9284	0.0080
Sensor	44.4175	26.6259	0.0080
Sensor	52.4246	26.4236	0.0081
Sensor	60.4352	26.3253	0.0174
Sensor	68.4449	26.3315	0.0130
Sensor	76.4507	26.4465	0.0097
Sensor	84.4523	26.6625	0.0112
Sensor	92.4458	26.9844	0.0067
Sensor	100.4338	27.4137	0.0030
Sensor	108.4161	27.9458	-0.0066
Sensor	116.3844	28.5848	-0.0259
Sensor	124.3444	29.3267	-0.0408
Sensor	5.1805	35.0752	-0.0393
Sensor	13.0977	34.3584	-0.0211
Sensor	20.9371	33.7545	-0.0026
Sensor	28.8651	33.2415	0.0025
Sensor	36.7927	32.8356	0.0052
Sensor	44.7232	32.5308	0.0106
Sensor	52.6539	32.3286	0.0153
Sensor	60.5840	32.2359	0.0120
Sensor	68.5155	32.2426	0.0161
Sensor	76.4455	32.3591	0.0133
Sensor	84.3673	32.5729	0.0146
Sensor	92.2849	32.8980	0.0082
Sensor	100.1944	33.3218	0.0038
Sensor	108.0970	33.8526	-0.0080
Sensor	115.9894	34.4843	-0.0249
Sensor	123.8706	35.2227	-0.0339
Sensor	6.2037	43.7156	-0.0304
Sensor	14.0031	43.0141	-0.0197
Sensor	21.8112	42.4022	-0.0105
Sensor	29.5406	41.9185	0.0036
Sensor	37.3579	41.5185	0.0052
Sensor	45.1738	41.2247	0.0169
Sensor	52.9944	41.0284	0.0223
Sensor	60.8093	40.9394	0.0180
Sensor	68.6273	40.9497	0.0154
Sensor	76.4379	41.0627	0.0151
Sensor	84.2472	41.2835	0.0129
Sensor	92.0485	41.6046	0.0060
Sensor	99.8483	42.0238	0.0020
Sensor	107.6344	42.5464	-0.0108
Sensor	115.4106	43.1745	-0.0194
Sensor	123.2554	43.8934	-0.0318
Sensor	7.2280	52.3698	-0.0281
Sensor	14.9129	51.6775	-0.0089
Sensor	22.6051	51.0847	-0.0048
Sensor	30.2997	50.5925	0.0052
Sensor	37.9999	50.2002	0.0121
Sensor	45.6295	49.9243	0.0200
Sensor	53.3290	49.7339	0.0206
Sensor	61.0333	49.6488	0.0180
Sensor	68.7339	49.6597	0.0173
Sensor	76.4321	49.7755	0.0149
Sensor	84.1241	49.9939	0.0151
Sensor	91.8133	50.3105	0.0123
Sensor	99.4979	50.7305	-0.0013
Sensor	107.1676	51.2488	-0.0092
Sensor	114.9076	51.8591	-0.0229
Sensor	122.5609	52.5800	-0.0355
Sensor	8.2522	61.0143	-0.0240
Sensor	15.8215	60.3408	-0.0130
Sensor	23.3975	59.7615	-0.0022
Sensor	30.9803	59.2848	0.0029
Sensor	38.5644	58.8988	0.0101
Sensor	46.1512	58.6147	0.0192
Sensor	53.7422	58.4327	0.0229
Sensor	61.3274	58.3495	0.0206
Sensor	68.9176	58.3610	0.0192
Sensor	76.4993	58.4839	0.0219
Sensor	84.0789	58.6988	0.0237
Sensor	91.6531	59.0167	0.0063
Sensor	99.2185	59.4325	-0.0012
Sensor	106.7781	59.9399	-0.0108
Sensor	114.3273	60.5568	-0.0172
Sensor	121.8653	61.2725	-0.0297
