#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: 20USEM20000023Akmal
Date: 2022-08-11T22:24:03.370323Z
Institute: SFU
Operator: AR
Instrument Type: Smartscope_Flash_302
Run Number: 2
Measurement program version: v1
#---Bow
#Locations	X[mm]	Y[mm]	Z[mm]
Sensor	0.9990	0.4970	-0.0319
Sensor	9.3509	-0.2670	-0.0191
Sensor	17.7089	-0.9254	-0.0070
Sensor	26.0721	-1.4737	-0.0021
Sensor	34.4443	-1.9137	-0.0009
Sensor	42.8241	-2.2430	0.0033
Sensor	51.2028	-2.4626	0.0089
Sensor	59.5845	-2.5740	0.0091
Sensor	67.9686	-2.5737	0.0129
Sensor	76.3443	-2.5121	0.0163
Sensor	84.7322	-2.2442	0.0192
Sensor	93.1073	-1.9153	0.0190
Sensor	101.4813	-1.4747	0.0204
Sensor	109.8436	-0.9263	0.0104
Sensor	118.1995	-0.2677	-0.0049
Sensor	126.5483	0.4986	-0.0265
Sensor	43.2824	6.4462	0.0000
Sensor	51.5605	6.2350	-0.0024
Sensor	59.8352	6.1273	0.0046
Sensor	4.4896	29.2055	-0.0348
Sensor	12.4033	28.4877	-0.0144
Sensor	20.3992	27.8639	-0.0081
Sensor	28.3981	27.3473	-0.0017
Sensor	36.4116	26.9290	0.0097
Sensor	44.4206	26.6259	0.0048
Sensor	52.4258	26.4235	0.0082
Sensor	60.4353	26.3266	0.0157
Sensor	68.4445	26.3313	0.0114
Sensor	76.4535	26.4459	0.0070
Sensor	84.4531	26.6617	0.0076
Sensor	92.4463	26.9842	0.0063
Sensor	100.4338	27.4142	0.0012
Sensor	108.4169	27.9468	-0.0072
Sensor	116.3856	28.5860	-0.0246
Sensor	124.3441	29.3269	-0.0394
Sensor	5.1800	35.0751	-0.0405
Sensor	13.0962	34.3581	-0.0230
Sensor	20.9373	33.7549	-0.0037
Sensor	28.8586	33.2416	-0.0009
Sensor	36.7928	32.8359	0.0029
Sensor	44.7223	32.5309	0.0103
Sensor	52.6544	32.3286	0.0134
Sensor	60.5846	32.2364	0.0108
Sensor	68.5160	32.2430	0.0133
Sensor	76.4446	32.3593	0.0143
Sensor	84.3692	32.5728	0.0112
Sensor	92.2860	32.8984	0.0050
Sensor	100.1945	33.3219	0.0044
Sensor	108.0975	33.8544	-0.0087
Sensor	115.9900	34.4843	-0.0242
Sensor	123.8709	35.2216	-0.0348
Sensor	6.2039	43.7154	-0.0323
Sensor	14.0037	43.0134	-0.0176
Sensor	21.8120	42.4022	-0.0099
Sensor	29.5411	41.9189	0.0021
Sensor	37.3582	41.5189	0.0041
Sensor	45.1737	41.2249	0.0142
Sensor	52.9915	41.0287	0.0202
Sensor	60.8090	40.9413	0.0175
Sensor	68.6290	40.9498	0.0155
Sensor	76.4374	41.0627	0.0141
Sensor	84.2460	41.2831	0.0106
Sensor	92.0485	41.6038	0.0048
Sensor	99.8471	42.0238	0.0017
Sensor	107.6358	42.5474	-0.0106
Sensor	115.4115	43.1746	-0.0221
Sensor	123.2558	43.8932	-0.0323
Sensor	7.2278	52.3695	-0.0247
Sensor	14.9116	51.6768	-0.0094
Sensor	22.6035	51.0850	-0.0050
Sensor	30.2986	50.5928	0.0050
Sensor	37.9997	50.2002	0.0115
Sensor	45.6281	49.9242	0.0179
Sensor	53.3305	49.7332	0.0202
Sensor	61.0320	49.6504	0.0182
Sensor	68.7339	49.6596	0.0155
Sensor	76.4312	49.7760	0.0170
Sensor	84.1230	49.9933	0.0138
Sensor	91.8140	50.3097	0.0125
Sensor	99.4964	50.7310	0.0004
Sensor	107.1678	51.2497	-0.0061
Sensor	114.9073	51.8590	-0.0203
Sensor	122.5593	52.5802	-0.0326
Sensor	8.2520	61.0138	-0.0105
Sensor	15.8221	60.3404	-0.0094
Sensor	23.3975	59.7618	-0.0031
Sensor	30.9807	59.2850	0.0059
Sensor	38.5666	58.8988	0.0112
Sensor	46.1514	58.6159	0.0159
Sensor	53.7414	58.4341	0.0204
Sensor	61.3271	58.3498	0.0194
Sensor	68.9167	58.3614	0.0179
Sensor	76.5004	58.4834	0.0204
Sensor	84.0794	58.6985	0.0226
Sensor	91.6537	59.0177	0.0073
Sensor	99.2183	59.4330	-0.0004
Sensor	106.7778	59.9405	-0.0069
Sensor	114.3286	60.5575	-0.0169
Sensor	121.8649	61.2709	-0.0283
