#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: 20USES20000020
Date: 2022-09-20T16:53:18.240795Z
Institute: SFU
Operator: ar
Instrument Type: Smartscope_Flash_302
Run Number: 2
Measurement program version: v1
#---Bow
#Locations	X[mm]	Y[mm]	Z[mm]
Sensor	1.0005	0.4973	0.0043
Sensor	9.3491	-0.2667	0.0043
Sensor	17.7060	-0.9255	0.0040
Sensor	26.0737	-1.4746	0.0038
Sensor	34.4430	-1.9132	0.0040
Sensor	42.8209	-2.2437	0.0036
Sensor	51.2004	-2.4634	0.0028
Sensor	59.5834	-2.5738	0.0016
Sensor	67.9664	-2.5730	0.0007
Sensor	76.3487	-2.4639	0.0005
Sensor	84.7281	-2.2451	0.0004
Sensor	93.1060	-1.9155	0.0008
Sensor	101.4773	-1.4756	0.0006
Sensor	109.8419	-0.9273	0.0008
Sensor	118.1993	-0.2683	0.0007
Sensor	126.5474	0.4986	0.0007
Sensor	43.2679	6.4481	-0.0005
Sensor	51.5369	6.2373	-0.0012
Sensor	59.8059	6.1311	-0.0021
Sensor	4.4447	29.2119	-0.0036
Sensor	12.4178	28.4864	-0.0019
Sensor	20.3978	27.8654	-0.0013
Sensor	28.3855	27.3489	-0.0009
Sensor	36.3800	26.9365	-0.0005
Sensor	44.3782	26.6308	0.0005
Sensor	52.3787	26.4281	-0.0003
Sensor	60.3827	26.3314	-0.0007
Sensor	68.3885	26.3400	-0.0013
Sensor	76.3905	26.4520	-0.0028
Sensor	84.3913	26.6697	-0.0035
Sensor	92.3894	26.9929	-0.0039
Sensor	100.3843	27.4202	-0.0040
Sensor	108.3697	27.9521	-0.0038
Sensor	116.3475	28.5886	-0.0032
Sensor	124.3184	29.3298	-0.0034
Sensor	5.1515	35.0790	-0.0055
Sensor	13.0475	34.3650	-0.0027
Sensor	20.9513	33.7516	-0.0008
Sensor	28.8612	33.2423	-0.0005
Sensor	36.7770	32.8365	0.0013
Sensor	44.6979	32.5341	0.0011
Sensor	52.6237	32.3361	0.0011
Sensor	60.5487	32.2413	0.0006
Sensor	68.4749	32.2501	-0.0002
Sensor	76.4023	32.3643	-0.0016
Sensor	84.3250	32.5813	-0.0027
Sensor	92.2459	32.9023	-0.0036
Sensor	100.1604	33.3283	-0.0039
Sensor	108.0717	33.8570	-0.0036
Sensor	115.9714	34.4879	-0.0033
Sensor	123.8644	35.2245	-0.0027
Sensor	6.1881	43.7184	-0.0065
Sensor	13.9721	43.0184	-0.0040
Sensor	21.7617	42.4165	-0.0017
Sensor	29.5581	41.9171	-0.0015
Sensor	37.3629	41.5187	0.0001
Sensor	45.1673	41.2240	0.0015
Sensor	52.9782	41.0316	0.0026
Sensor	60.7908	40.9398	0.0025
Sensor	68.6034	40.9526	0.0024
Sensor	76.4150	41.0664	0.0006
Sensor	84.2246	41.2841	-0.0008
Sensor	92.0319	41.6016	-0.0023
Sensor	99.8316	42.0240	-0.0030
Sensor	107.6277	42.5483	-0.0026
Sensor	115.4154	43.1728	-0.0023
Sensor	123.1939	43.9008	-0.0020
Sensor	7.2130	52.3726	-0.0070
Sensor	14.8822	51.6846	-0.0041
Sensor	22.5589	51.0940	-0.0009
Sensor	30.2408	50.6042	0.0007
Sensor	37.9293	50.2150	0.0026
Sensor	45.6225	49.9270	0.0037
Sensor	53.3190	49.7394	0.0042
Sensor	61.0168	49.6524	0.0041
Sensor	68.7159	49.6667	0.0042
Sensor	76.4136	49.7805	0.0023
Sensor	84.1085	49.9977	0.0017
Sensor	91.8012	50.3126	0.0009
Sensor	99.4879	50.7322	0.0001
Sensor	107.1696	51.2503	0.0002
Sensor	114.8419	51.8693	0.0001
Sensor	122.5075	52.5879	-0.0000
Sensor	8.2597	61.0175	-0.0074
Sensor	15.8157	60.3437	-0.0047
Sensor	23.3781	59.7644	-0.0019
Sensor	30.9459	59.2846	0.0013
Sensor	38.5234	58.9035	0.0029
Sensor	46.1007	58.6224	0.0047
Sensor	53.6835	58.4392	0.0062
Sensor	61.2681	58.3569	0.0066
Sensor	68.8510	58.3743	0.0066
Sensor	76.4356	58.4897	0.0056
Sensor	84.0160	58.7058	0.0044
Sensor	91.5940	59.0199	0.0034
Sensor	99.1672	59.4351	0.0023
Sensor	106.7358	59.9480	0.0022
Sensor	114.2931	60.5600	0.0015
Sensor	121.8465	61.2708	0.0016
