#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: 20USEM20000023Akmal
Date: 2022-08-11T22:24:03.369323Z
Institute: SFU
Operator: AR
Instrument Type: Smartscope_Flash_302
Run Number: 1
Measurement program version: v1
#---Bow
#Locations	X[mm]	Y[mm]	Z[mm]
Sensor	0.9987	0.5002	-0.0295
Sensor	9.3511	-0.2669	-0.0190
Sensor	17.7090	-0.9253	-0.0059
Sensor	26.0726	-1.4733	-0.0018
Sensor	34.4439	-1.9136	-0.0009
Sensor	42.8213	-2.2430	0.0046
Sensor	51.2024	-2.4628	0.0068
Sensor	59.5839	-2.5738	0.0075
Sensor	67.9674	-2.5735	0.0115
Sensor	76.3438	-2.5123	0.0163
Sensor	84.7303	-2.2447	0.0167
Sensor	93.1067	-1.9160	0.0214
Sensor	101.4814	-1.4742	0.0196
Sensor	109.8447	-0.9261	0.0099
Sensor	118.2003	-0.2679	-0.0018
Sensor	126.5478	0.4992	-0.0244
Sensor	43.2837	6.4470	0.0015
Sensor	51.5602	6.2345	0.0014
Sensor	59.8355	6.1280	0.0023
Sensor	4.4901	29.2076	-0.0349
Sensor	12.4046	28.4881	-0.0162
Sensor	20.3999	27.8644	-0.0089
Sensor	28.3993	27.3470	-0.0031
Sensor	36.4109	26.9288	0.0041
Sensor	44.4196	26.6257	0.0033
Sensor	52.4250	26.4229	0.0054
Sensor	60.4353	26.3254	0.0184
Sensor	68.4445	26.3330	0.0093
Sensor	76.4521	26.4465	0.0059
Sensor	84.4527	26.6625	0.0067
Sensor	92.4460	26.9846	0.0037
Sensor	100.4333	27.4139	0.0011
Sensor	108.4168	27.9464	-0.0063
Sensor	116.3851	28.5851	-0.0255
Sensor	124.3439	29.3266	-0.0370
Sensor	5.1801	35.0737	-0.0346
Sensor	13.0961	34.3586	-0.0209
Sensor	20.9376	33.7542	-0.0044
Sensor	28.8636	33.2413	-0.0015
Sensor	36.7942	32.8357	0.0046
Sensor	44.7223	32.5308	0.0071
Sensor	52.6540	32.3291	0.0143
Sensor	60.5850	32.2360	0.0094
Sensor	68.5162	32.2419	0.0118
Sensor	76.4448	32.3587	0.0101
Sensor	84.3688	32.5733	0.0087
Sensor	92.2866	32.8968	0.0048
Sensor	100.1950	33.3216	0.0065
Sensor	108.0969	33.8535	-0.0083
Sensor	115.9905	34.4840	-0.0247
Sensor	123.8712	35.2235	-0.0324
Sensor	6.2037	43.7159	-0.0285
Sensor	14.0045	43.0143	-0.0144
Sensor	21.8120	42.4014	-0.0066
Sensor	29.5420	41.9186	0.0042
Sensor	37.3577	41.5182	0.0040
Sensor	45.1739	41.2249	0.0140
Sensor	52.9918	41.0283	0.0213
Sensor	60.8091	40.9391	0.0172
Sensor	68.6296	40.9493	0.0164
Sensor	76.4379	41.0620	0.0130
Sensor	84.2461	41.2831	0.0084
Sensor	92.0487	41.6031	0.0054
Sensor	99.8474	42.0240	0.0014
Sensor	107.6347	42.5470	-0.0114
Sensor	115.4126	43.1756	-0.0207
Sensor	123.2561	43.8939	-0.0311
Sensor	7.2280	52.3698	-0.0265
Sensor	14.9113	51.6778	-0.0087
Sensor	22.6034	51.0844	-0.0045
Sensor	30.2986	50.5922	0.0040
Sensor	38.0001	50.2004	0.0115
Sensor	45.6283	49.9241	0.0174
Sensor	53.3314	49.7345	0.0198
Sensor	61.0323	49.6502	0.0167
Sensor	68.7325	49.6602	0.0190
Sensor	76.4324	49.7764	0.0128
Sensor	84.1232	49.9934	0.0141
Sensor	91.8142	50.3103	0.0121
Sensor	99.4966	50.7299	-0.0007
Sensor	107.1676	51.2479	-0.0065
Sensor	114.9081	51.8593	-0.0191
Sensor	122.5603	52.5821	-0.0342
Sensor	8.2521	61.0135	-0.0195
Sensor	15.8209	60.3406	-0.0070
Sensor	23.3976	59.7614	-0.0014
Sensor	30.9808	59.2850	0.0066
Sensor	38.5656	58.8989	0.0107
Sensor	46.1514	58.6146	0.0165
Sensor	53.7411	58.4335	0.0214
Sensor	61.3272	58.3507	0.0203
Sensor	68.9163	58.3612	0.0196
Sensor	76.5002	58.4840	0.0197
Sensor	84.0780	58.6983	0.0235
Sensor	91.6527	59.0177	0.0054
Sensor	99.2184	59.4335	0.0004
Sensor	106.7771	59.9403	-0.0073
Sensor	114.3284	60.5582	-0.0160
Sensor	121.8647	61.2708	-0.0253
