#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: S2163TRIUMF
Date: 2023-04-20T17:36:16.489Z
Institute: SFU
Operator: ps
Instrument type: Smartscope_Flash_302
Run Number: 1
Measurement program version: v1
#---Bow
#Location	X [mm]	Y [mm]	Z [mm]
Sensor	0.7010	0.2500	-0.0072
Sensor	9.0522	-0.5221	-0.0058
Sensor	17.4128	-1.1846	-0.0020
Sensor	25.7813	-1.7375	0.0039
Sensor	34.1565	-2.1807	0.0045
Sensor	42.5367	-2.5140	0.0070
Sensor	50.9204	-2.7376	0.0076
Sensor	59.3066	-2.8513	0.0065
Sensor	43.2608	6.4511	0.0015
Sensor	51.5255	6.2367	0.0040
Sensor	59.7939	6.1305	0.0030
Sensor	4.4233	29.2219	-0.0078
Sensor	12.3930	28.4950	-0.0046
Sensor	20.3730	27.8741	-0.0040
Sensor	28.3606	27.3576	-0.0025
Sensor	36.3543	26.9459	0.0002
Sensor	44.3527	26.6391	0.0020
Sensor	52.3542	26.4357	0.0019
Sensor	60.3578	26.3385	0.0018
Sensor	68.3621	26.3464	0.0024
Sensor	76.3655	26.4591	0.0028
Sensor	84.3668	26.6768	-0.0003
Sensor	92.3644	26.9976	-0.0022
Sensor	100.3555	27.4251	-0.0040
Sensor	108.3422	27.9571	-0.0045
Sensor	116.3210	28.5938	-0.0056
Sensor	124.2909	29.3349	-0.0068
Sensor	5.1322	35.0824	-0.0068
Sensor	13.0250	34.3657	-0.0054
Sensor	20.9279	33.7525	-0.0040
Sensor	28.8382	33.2430	-0.0031
Sensor	36.7546	32.8371	-0.0003
Sensor	44.6757	32.5351	0.0024
Sensor	52.5997	32.3352	0.0042
Sensor	60.5260	32.2408	0.0035
Sensor	68.4527	32.2504	0.0025
Sensor	76.3787	32.3638	0.0034
Sensor	84.3024	32.5812	0.0016
Sensor	92.2228	32.9024	-0.0003
Sensor	100.1379	33.3257	-0.0029
Sensor	108.0487	33.8541	-0.0026
Sensor	115.9501	34.4864	-0.0046
Sensor	123.8427	35.2222	-0.0062
Sensor	6.1831	43.7307	-0.0039
Sensor	13.9623	43.0255	-0.0041
Sensor	21.7518	42.4238	-0.0034
Sensor	29.5485	41.9239	-0.0012
Sensor	37.3512	41.5265	-0.0007
Sensor	45.1583	41.2314	0.0021
Sensor	52.9687	41.0386	0.0032
Sensor	60.7809	40.9482	0.0016
Sensor	68.5936	40.9602	0.0045
Sensor	76.4055	41.0746	0.0025
Sensor	84.2153	41.2913	0.0036
Sensor	92.0197	41.6091	0.0006
Sensor	99.8210	42.0307	-0.0007
Sensor	107.6161	42.5541	-0.0034
Sensor	115.4038	43.1800	-0.0048
Sensor	123.1826	43.9077	-0.0061
Sensor	7.2120	52.3712	-0.0016
Sensor	14.8778	51.6802	-0.0031
Sensor	22.5537	51.0896	-0.0008
Sensor	30.2367	50.5997	-0.0016
Sensor	37.9255	50.2105	-0.0010
Sensor	45.6186	49.9222	0.0014
Sensor	53.3150	49.7347	0.0059
Sensor	61.0130	49.6481	0.0048
Sensor	68.7115	49.6624	0.0031
Sensor	76.4093	49.7777	0.0052
Sensor	84.1049	49.9938	0.0026
Sensor	91.7967	50.3091	0.0005
Sensor	99.4839	50.7268	0.0012
Sensor	107.1651	51.2453	-0.0013
Sensor	114.8387	51.8644	-0.0030
Sensor	122.5036	52.5840	-0.0071
Sensor	8.2508	61.0129	0.0003
Sensor	15.8030	60.3333	0.0011
Sensor	23.3654	59.7541	-0.0012
Sensor	30.9362	59.2740	-0.0009
Sensor	38.5110	58.8934	0.0018
Sensor	46.0903	58.6118	0.0016
Sensor	53.6724	58.4298	0.0032
Sensor	61.2565	58.3471	0.0048
Sensor	68.8408	58.3639	0.0058
Sensor	76.4243	58.4800	0.0045
Sensor	84.0057	58.6956	0.0060
Sensor	91.5836	59.0104	0.0042
Sensor	99.1566	59.4232	0.0028
Sensor	106.7236	59.9364	0.0023
Sensor	114.2848	60.5488	0.0016
Sensor	121.8358	61.2604	-0.0062
