#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: S2163SFU
Date: 2023-04-20T17:36:14.483Z
Institute: SFU
Operator: ps
Instrument type: Smartscope_Flash_302
Run Number: 1
Measurement program version: v1
#---Bow
#Location	X [mm]	Y [mm]	Z [mm]
Sensor	0.9968	0.4962	-0.0015
Sensor	9.3474	-0.2663	-0.0001
Sensor	17.7060	-0.9253	0.0017
Sensor	26.0724	-1.4748	0.0037
Sensor	34.4444	-1.9137	0.0047
Sensor	42.8209	-2.2434	0.0053
Sensor	51.2003	-2.4634	0.0053
Sensor	59.5829	-2.5744	0.0045
Sensor	67.9667	-2.5741	0.0028
Sensor	76.3484	-2.4649	0.0010
Sensor	84.7294	-2.2438	-0.0008
Sensor	93.1053	-1.9159	-0.0021
Sensor	101.4769	-1.4760	-0.0032
Sensor	109.8418	-0.9266	-0.0043
Sensor	118.1986	-0.2684	-0.0063
Sensor	126.5464	0.4986	-0.0083
Sensor	43.2689	6.4480	0.0034
Sensor	51.5365	6.2367	0.0037
Sensor	59.8054	6.1306	0.0022
Sensor	4.4451	29.2111	-0.0060
Sensor	12.4165	28.4860	-0.0037
Sensor	20.3975	27.8649	-0.0026
Sensor	28.3862	27.3489	-0.0015
Sensor	36.3792	26.9377	0.0009
Sensor	44.3780	26.6298	0.0023
Sensor	52.3790	26.4280	0.0019
Sensor	60.3821	26.3313	0.0015
Sensor	68.3872	26.3388	0.0012
Sensor	76.3902	26.4522	0.0008
Sensor	84.3913	26.6701	0.0006
Sensor	92.3887	26.9921	-0.0005
Sensor	100.3825	27.4196	-0.0017
Sensor	108.3710	27.9521	-0.0030
Sensor	116.3477	28.5896	-0.0038
Sensor	124.3167	29.3290	-0.0053
Sensor	5.1508	35.0790	-0.0049
Sensor	13.0471	34.3646	-0.0042
Sensor	20.9499	33.7515	-0.0026
Sensor	28.8615	33.2415	-0.0008
Sensor	36.7769	32.8366	0.0004
Sensor	44.6975	32.5336	0.0014
Sensor	52.6222	32.3352	0.0016
Sensor	60.5486	32.2421	0.0016
Sensor	68.4752	32.2506	0.0019
Sensor	76.4014	32.3650	0.0018
Sensor	84.3260	32.5806	0.0012
Sensor	92.2463	32.9033	0.0009
Sensor	100.1607	33.3269	-0.0004
Sensor	108.0714	33.8561	-0.0014
Sensor	115.9708	34.4895	-0.0028
Sensor	123.8646	35.2234	-0.0048
Sensor	6.1896	43.7195	-0.0051
Sensor	13.9724	43.0175	-0.0042
Sensor	21.7606	42.4161	-0.0034
Sensor	29.5572	41.9169	-0.0012
Sensor	37.3606	41.5196	0.0006
Sensor	45.1693	41.2246	0.0018
Sensor	52.9771	41.0320	0.0029
Sensor	60.7901	40.9403	0.0023
Sensor	68.6031	40.9517	0.0023
Sensor	76.4148	41.0679	0.0021
Sensor	84.2239	41.2833	0.0019
Sensor	92.0326	41.6034	0.0010
Sensor	99.8314	42.0239	0.0007
Sensor	107.6269	42.5468	0.0000
Sensor	115.4160	43.1731	-0.0015
Sensor	123.1934	43.9011	-0.0030
Sensor	7.2133	52.3736	-0.0042
Sensor	14.8811	51.6846	-0.0031
Sensor	22.5573	51.0937	-0.0029
Sensor	30.2409	50.6033	-0.0011
Sensor	37.9289	50.2145	-0.0000
Sensor	45.6221	49.9257	0.0019
Sensor	53.3190	49.7385	0.0021
Sensor	61.0161	49.6524	0.0023
Sensor	68.7155	49.6665	0.0036
Sensor	76.4133	49.7807	0.0034
Sensor	84.1077	49.9963	0.0036
Sensor	91.8012	50.3139	0.0025
Sensor	99.4870	50.7312	0.0021
Sensor	107.1680	51.2512	0.0008
Sensor	114.8426	51.8680	-0.0004
Sensor	122.5063	52.5883	-0.0020
Sensor	8.2594	61.0194	-0.0029
Sensor	15.8144	60.3432	-0.0035
Sensor	23.3774	59.7643	-0.0023
Sensor	30.9457	59.2848	-0.0010
Sensor	38.5214	58.9038	-0.0002
Sensor	46.1007	58.6223	0.0018
Sensor	53.6823	58.4397	0.0026
Sensor	61.2663	58.3564	0.0034
Sensor	68.8509	58.3735	0.0033
Sensor	76.4341	58.4897	0.0037
Sensor	84.0164	58.7056	0.0033
Sensor	91.5935	59.0197	0.0029
Sensor	99.1666	59.4347	0.0014
Sensor	106.7338	59.9477	0.0013
Sensor	114.2936	60.5609	-0.0000
Sensor	121.8447	61.2721	-0.0015
