#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: 20USEM20000024
Date: 2022-07-08T00:01:17.695985Z
Institute: SFU
Operator: AR
Instrument Type: Smartscope_Flash_302
Run Number: 1
Measurement program version: v1
#---Bow
#Locations	X[mm]	Y[mm]	Z[mm]
Sensor	0.9990	0.4990	0.0254
Sensor	9.3525	-0.2667	0.0216
Sensor	17.7104	-0.9248	0.0149
Sensor	26.0744	-1.4734	0.0069
Sensor	34.4431	-1.9128	0.0035
Sensor	42.8231	-2.2439	-0.0013
Sensor	51.2033	-2.4639	-0.0059
Sensor	59.5850	-2.5747	0.0003
Sensor	67.9684	-2.5730	-0.0007
Sensor	76.3506	-2.4648	0.0106
Sensor	84.7317	-2.2432	0.0045
Sensor	93.1073	-1.9145	0.0160
Sensor	101.4808	-1.4758	0.0161
Sensor	109.8453	-0.9266	0.0150
Sensor	118.2049	-0.2682	0.0173
Sensor	126.5508	0.4994	0.0228
Sensor	43.2683	6.4475	-0.0294
Sensor	51.5378	6.2376	-0.0295
Sensor	59.8065	6.1299	-0.0298
Sensor	4.4431	29.2136	-0.0092
Sensor	12.4189	28.4858	-0.0104
Sensor	20.3997	27.8636	0.0584
Sensor	28.3855	27.3490	0.0323
Sensor	116.3509	28.5861	-0.0069
Sensor	124.3174	29.3276	-0.0070
Sensor	5.1477	35.0776	-0.0048
Sensor	13.0465	34.3646	-0.0099
Sensor	20.9479	33.7518	-0.0081
Sensor	28.8573	33.2420	-0.0154
Sensor	36.7721	32.8368	-0.0108
Sensor	44.6985	32.5337	-0.0153
Sensor	52.6201	32.3349	-0.0140
Sensor	60.5463	32.2391	-0.0251
Sensor	68.4759	32.2497	-0.0127
Sensor	76.3995	32.3647	-0.0137
Sensor	84.3236	32.5805	-0.0121
Sensor	92.2439	32.9031	-0.0111
Sensor	100.1613	33.3275	-0.0100
Sensor	108.0687	33.8554	-0.0082
Sensor	115.9693	34.4869	-0.0049
Sensor	123.8647	35.2249	-0.0021
Sensor	6.1881	43.7191	0.0008
Sensor	13.9738	43.0174	-0.0033
Sensor	21.7639	42.4150	-0.0025
Sensor	29.5619	41.9161	-0.0091
Sensor	37.3607	41.5187	-0.0126
Sensor	45.1696	41.2228	-0.0123
Sensor	52.9807	41.0304	-0.0121
Sensor	60.7915	40.9395	-0.0108
Sensor	68.6058	40.9511	-0.0071
Sensor	76.4180	41.0667	-0.0084
Sensor	84.2262	41.2838	-0.0103
Sensor	92.0326	41.6014	-0.0057
Sensor	99.8359	42.0247	-0.0054
Sensor	107.6303	42.5475	-0.0012
Sensor	115.4181	43.1727	0.0001
Sensor	123.1966	43.9006	0.0030
Sensor	7.2182	52.3698	-0.0043
Sensor	14.8925	51.6794	-0.0131
Sensor	22.5667	51.0896	-0.0063
Sensor	30.2480	50.6001	-0.0077
Sensor	37.9350	50.2114	-0.0035
Sensor	45.6321	49.9217	-0.0056
Sensor	53.3268	49.7337	-0.0059
Sensor	61.0257	49.6478	-0.0056
Sensor	68.7234	49.6617	-0.0068
Sensor	76.4214	49.7762	-0.0060
Sensor	84.1161	49.9924	0.0004
Sensor	91.8083	50.3112	-0.0039
Sensor	99.4968	50.7301	-0.0010
Sensor	107.1774	51.2471	0.0001
Sensor	114.8516	51.8658	0.0025
Sensor	122.5166	52.5870	-0.0019
Sensor	8.2589	61.0182	0.0285
Sensor	15.8146	60.3436	0.0235
Sensor	23.3782	59.7651	0.0185
Sensor	30.9491	59.2845	0.0175
Sensor	38.5188	58.9038	0.0095
Sensor	46.1021	58.6213	0.0124
Sensor	53.6826	58.4393	0.0056
Sensor	61.2678	58.3555	0.0057
Sensor	68.8521	58.3728	0.0043
Sensor	76.4347	58.4891	0.0015
Sensor	84.0173	58.7065	0.0087
Sensor	91.5943	59.0196	0.0099
Sensor	99.1695	59.4352	0.0118
Sensor	106.7349	59.9480	0.0150
Sensor	114.2960	60.5592	0.0190
Sensor	121.8460	61.2715	0.0169
