#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: S2165TRIUMF
Date: 2023-04-20T17:36:24.161Z
Institute: SFU
Operator: ps
Instrument type: Smartscope_Flash_302
Run Number: 1
Measurement program version: v1
#---Bow
#Location	X [mm]	Y [mm]	Z [mm]
Sensor	0.7010	0.2502	-0.0045
Sensor	9.0522	-0.5219	-0.0093
Sensor	17.4127	-1.1846	0.0001
Sensor	25.7813	-1.7376	0.0020
Sensor	34.1565	-2.1807	0.0025
Sensor	42.5366	-2.5141	0.0049
Sensor	50.9204	-2.7376	0.0015
Sensor	59.3064	-2.8512	-0.0003
Sensor	43.2608	6.4510	0.0017
Sensor	51.5254	6.2367	0.0028
Sensor	59.7938	6.1304	0.0020
Sensor	4.4235	29.2219	-0.0039
Sensor	12.3929	28.4949	-0.0037
Sensor	20.3731	27.8739	-0.0041
Sensor	28.3606	27.3576	-0.0007
Sensor	36.3542	26.9459	0.0014
Sensor	44.3527	26.6391	0.0021
Sensor	52.3540	26.4356	0.0027
Sensor	60.3578	26.3384	0.0064
Sensor	68.3620	26.3463	0.0032
Sensor	76.3655	26.4591	0.0038
Sensor	84.3668	26.6767	-0.0008
Sensor	92.3645	26.9993	0.0005
Sensor	100.3556	27.4251	-0.0013
Sensor	108.3421	27.9572	-0.0047
Sensor	116.3210	28.5938	-0.0041
Sensor	124.2908	29.3350	-0.0073
Sensor	5.1323	35.0823	-0.0053
Sensor	13.0248	34.3658	-0.0033
Sensor	20.9280	33.7525	-0.0027
Sensor	28.8382	33.2430	-0.0011
Sensor	36.7546	32.8370	0.0006
Sensor	44.6756	32.5351	0.0047
Sensor	52.5997	32.3352	0.0050
Sensor	60.5260	32.2408	0.0019
Sensor	68.4527	32.2503	0.0051
Sensor	76.3787	32.3638	0.0019
Sensor	84.3025	32.5811	0.0013
Sensor	92.2227	32.9023	-0.0002
Sensor	100.1380	33.3272	-0.0023
Sensor	108.0470	33.8542	-0.0013
Sensor	115.9485	34.4866	-0.0049
Sensor	123.8427	35.2221	-0.0086
Sensor	6.1830	43.7307	-0.0044
Sensor	13.9622	43.0255	-0.0032
Sensor	21.7518	42.4236	-0.0024
Sensor	29.5485	41.9239	-0.0011
Sensor	37.3512	41.5264	-0.0004
Sensor	45.1582	41.2314	-0.0008
Sensor	52.9686	41.0386	0.0018
Sensor	60.7809	40.9481	0.0071
Sensor	68.5936	40.9601	0.0079
Sensor	76.4055	41.0745	0.0055
Sensor	84.2153	41.2913	0.0050
Sensor	92.0214	41.6105	0.0020
Sensor	99.8209	42.0305	-0.0004
Sensor	107.6162	42.5543	-0.0022
Sensor	115.4038	43.1799	-0.0021
Sensor	123.1825	43.9077	-0.0069
Sensor	7.2121	52.3711	-0.0020
Sensor	14.8779	51.6801	-0.0048
Sensor	22.5537	51.0896	-0.0001
Sensor	30.2367	50.5998	-0.0020
Sensor	37.9255	50.2105	0.0007
Sensor	45.6186	49.9221	0.0024
Sensor	53.3150	49.7347	0.0059
Sensor	61.0130	49.6481	0.0027
Sensor	68.7117	49.6625	0.0050
Sensor	76.4093	49.7776	0.0028
Sensor	84.1049	49.9938	0.0050
Sensor	91.7967	50.3090	0.0012
Sensor	99.4841	50.7269	0.0005
Sensor	107.1651	51.2453	-0.0020
Sensor	114.8387	51.8643	-0.0001
Sensor	122.5036	52.5839	-0.0065
Sensor	8.2508	61.0129	0.0016
Sensor	15.8031	60.3333	-0.0050
Sensor	23.3669	59.7539	-0.0014
Sensor	30.9362	59.2740	-0.0034
Sensor	38.5110	58.8933	-0.0008
Sensor	46.0902	58.6118	0.0008
Sensor	53.6725	58.4298	0.0014
Sensor	61.2564	58.3471	0.0044
Sensor	68.8409	58.3639	0.0023
Sensor	76.4244	58.4800	0.0018
Sensor	84.0058	58.6955	0.0043
Sensor	91.5836	59.0104	0.0038
Sensor	99.1568	59.4246	0.0038
Sensor	106.7235	59.9364	-0.0019
Sensor	114.2848	60.5487	-0.0048
Sensor	121.8358	61.2604	-0.0039
