#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: 20USEM20000034
Date: 2022-09-13T20:48:29.864212Z
Institute: TRIUMF
Operator: PS
Instrument Type: Mitutoyo_CMM
Run Number: 3
Measurement program version: v1
#---Positions
#Bow	X[mm]	Y[mm]	Z[mm]
Sensor	1.0001	1.0841	0.0748
Sensor	9.3396	0.3145	0.0522
Sensor	17.6903	-0.3443	0.0350
Sensor	26.0472	-0.8934	0.0195
Sensor	34.4123	-1.3332	0.0122
Sensor	42.7808	-1.6630	0.0077
Sensor	51.1530	-1.8831	0.0025
Sensor	59.5288	-1.9953	0.0030
Sensor	43.2607	6.4510	-0.0095
Sensor	51.5254	6.2366	-0.0149
Sensor	59.7937	6.1303	-0.0156
Sensor	4.4234	29.2218	0.0265
Sensor	12.3929	28.4948	0.0096
Sensor	20.3731	27.8738	-0.0036
Sensor	28.3604	27.3574	-0.0167
Sensor	36.3542	26.9459	-0.0223
Sensor	44.3525	26.6390	-0.0286
Sensor	52.3540	26.4354	-0.0296
Sensor	60.3577	26.3383	-0.0322
Sensor	68.3620	26.3461	-0.0327
Sensor	76.3654	26.4590	-0.0301
Sensor	84.3667	26.6766	-0.0227
Sensor	92.3646	26.9991	-0.0164
Sensor	100.3557	27.4266	-0.0079
Sensor	108.3421	27.9570	0.0022
Sensor	116.3209	28.5935	0.0147
Sensor	124.2908	29.3348	0.0339
Sensor	5.1321	35.0822	0.0244
Sensor	13.0247	34.3656	0.0095
Sensor	20.9278	33.7524	-0.0022
Sensor	28.8382	33.2428	-0.0126
Sensor	36.7547	32.8369	-0.0202
Sensor	44.6757	32.5348	-0.0246
Sensor	52.5999	32.3366	-0.0277
Sensor	60.5259	32.2407	-0.0292
Sensor	68.4526	32.2502	-0.0293
Sensor	76.3786	32.3636	-0.0250
Sensor	84.3025	32.5811	-0.0226
Sensor	92.2227	32.9022	-0.0157
Sensor	100.1381	33.3271	-0.0066
Sensor	108.0470	33.8541	0.0047
Sensor	115.9501	34.4862	0.0168
Sensor	123.8427	35.2220	0.0347
Sensor	6.1830	43.7307	0.0244
Sensor	13.9621	43.0254	0.0121
Sensor	21.7517	42.4235	0.0042
Sensor	29.5485	41.9239	-0.0078
Sensor	37.3511	41.5265	-0.0131
Sensor	45.1582	41.2313	-0.0193
Sensor	52.9685	41.0385	-0.0224
Sensor	60.7807	40.9481	-0.0234
Sensor	68.5935	40.9601	-0.0207
Sensor	76.4054	41.0745	-0.0212
Sensor	84.2151	41.2913	-0.0140
Sensor	92.0214	41.6105	-0.0103
Sensor	99.8209	42.0304	-0.0016
Sensor	107.6160	42.5540	0.0089
Sensor	115.4037	43.1798	0.0193
Sensor	123.1825	43.9076	0.0371
Sensor	7.2119	52.3708	0.0249
Sensor	14.8778	51.6800	0.0153
Sensor	22.5537	51.0896	0.0055
Sensor	30.2367	50.5996	-0.0029
Sensor	37.9254	50.2105	-0.0095
Sensor	45.6186	49.9222	-0.0142
Sensor	53.3150	49.7346	-0.0159
Sensor	61.0129	49.6482	-0.0160
Sensor	68.7117	49.6624	-0.0153
Sensor	76.4093	49.7776	-0.0109
Sensor	84.1049	49.9938	-0.0075
Sensor	91.7969	50.3106	-0.0005
Sensor	99.4840	50.7267	0.0056
Sensor	107.1651	51.2451	0.0151
Sensor	114.8387	51.8643	0.0251
Sensor	122.5036	52.5839	0.0392
Sensor	8.2509	61.0129	0.0265
Sensor	15.8032	60.3333	0.0157
Sensor	23.3654	59.7541	0.0101
Sensor	30.9362	59.2739	0.0049
Sensor	38.5111	58.8933	-0.0046
Sensor	46.0903	58.6117	-0.0077
Sensor	53.6725	58.4297	-0.0075
Sensor	61.2565	58.3470	-0.0100
Sensor	68.8409	58.3638	-0.0062
Sensor	76.4245	58.4800	-0.0040
Sensor	84.0057	58.6956	-0.0003
Sensor	91.5837	59.0104	0.0057
Sensor	99.1566	59.4230	0.0114
Sensor	106.7236	59.9364	0.0186
Sensor	114.2832	60.5489	0.0294
Sensor	121.8359	61.2603	0.0423
