#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: 20USEM2000023Akmal
Date: 2022-08-11T22:11:50.492200Z
Institute: SFU
Operator: AR
Instrument Type: Smartscope_Flash_302
Run Number: 5
Measurement program version: v1
#---Bow
#Locations	X[mm]	Y[mm]	Z[mm]
Sensor	0.9990	0.4986	-0.0356
Sensor	9.3517	-0.2671	-0.0213
Sensor	17.7093	-0.9258	-0.0086
Sensor	26.0727	-1.4742	-0.0040
Sensor	34.4446	-1.9136	-0.0007
Sensor	42.8218	-2.2428	0.0060
Sensor	51.2027	-2.4633	0.0086
Sensor	59.5846	-2.5744	0.0091
Sensor	67.9677	-2.5737	0.0148
Sensor	76.3441	-2.5123	0.0184
Sensor	84.7308	-2.2444	0.0182
Sensor	93.1074	-1.9154	0.0196
Sensor	101.4815	-1.4742	0.0166
Sensor	109.8449	-0.9259	0.0063
Sensor	118.1999	-0.2687	-0.0114
Sensor	126.5498	0.4994	-0.0319
Sensor	43.2829	6.4457	0.0045
Sensor	51.5626	6.2333	-0.0005
Sensor	59.8388	6.1283	0.0058
Sensor	4.4901	29.2074	-0.0390
Sensor	12.4031	28.4884	-0.0171
Sensor	20.4001	27.8651	-0.0093
Sensor	28.4042	27.3471	0.0021
Sensor	36.4100	26.9275	0.0060
Sensor	44.4172	26.6261	0.0098
Sensor	52.4248	26.4231	0.0100
Sensor	60.4370	26.3255	0.0188
Sensor	68.4441	26.3312	0.0155
Sensor	76.4501	26.4454	0.0115
Sensor	84.4523	26.6642	0.0119
Sensor	92.4473	26.9843	0.0065
Sensor	100.4334	27.4136	0.0044
Sensor	108.4161	27.9472	-0.0063
Sensor	116.3848	28.5851	-0.0265
Sensor	124.3440	29.3269	-0.0423
Sensor	5.1805	35.0744	-0.0402
Sensor	13.0963	34.3583	-0.0256
Sensor	20.9362	33.7544	-0.0049
Sensor	28.8719	33.2411	0.0008
Sensor	36.7925	32.8356	0.0048
Sensor	44.7219	32.5304	0.0114
Sensor	52.6534	32.3289	0.0144
Sensor	60.5839	32.2358	0.0132
Sensor	68.5166	32.2432	0.0161
Sensor	76.4447	32.3603	0.0116
Sensor	84.3668	32.5744	0.0139
Sensor	92.2847	32.8961	0.0090
Sensor	100.1954	33.3221	0.0066
Sensor	108.0963	33.8526	-0.0077
Sensor	115.9892	34.4857	-0.0261
Sensor	123.8719	35.2235	-0.0345
Sensor	6.2035	43.7156	-0.0347
Sensor	14.0045	43.0138	-0.0175
Sensor	21.8119	42.4017	-0.0043
Sensor	29.5411	41.9186	0.0045
Sensor	37.3573	41.5187	0.0031
Sensor	45.1734	41.2253	0.0151
Sensor	52.9946	41.0279	0.0207
Sensor	60.8094	40.9403	0.0186
Sensor	68.6286	40.9501	0.0179
Sensor	76.4382	41.0626	0.0161
Sensor	84.2469	41.2844	0.0105
Sensor	92.0490	41.6033	0.0072
Sensor	99.8489	42.0252	0.0023
Sensor	107.6342	42.5460	-0.0100
Sensor	115.4111	43.1745	-0.0216
Sensor	123.2560	43.8938	-0.0351
Sensor	7.2276	52.3691	-0.0323
Sensor	14.9135	51.6778	-0.0113
Sensor	22.6045	51.0841	-0.0055
Sensor	30.3002	50.5921	0.0033
Sensor	38.0015	50.1996	0.0104
Sensor	45.6294	49.9241	0.0167
Sensor	53.3293	49.7341	0.0213
Sensor	61.0332	49.6506	0.0196
Sensor	68.7333	49.6588	0.0175
Sensor	76.4320	49.7738	0.0171
Sensor	84.1239	49.9943	0.0153
Sensor	91.8135	50.3103	0.0100
Sensor	99.4977	50.7300	-0.0009
Sensor	107.1670	51.2492	-0.0097
Sensor	114.9074	51.8579	-0.0230
Sensor	122.5605	52.5790	-0.0364
Sensor	8.2515	61.0136	-0.0219
Sensor	15.8215	60.3403	-0.0142
Sensor	23.3971	59.7612	0.0007
Sensor	30.9803	59.2845	0.0061
Sensor	38.5641	58.8987	0.0126
Sensor	46.1516	58.6153	0.0190
Sensor	53.7411	58.4325	0.0252
Sensor	61.3270	58.3498	0.0211
Sensor	68.9171	58.3622	0.0207
Sensor	76.4987	58.4834	0.0223
Sensor	84.0793	58.6992	0.0249
Sensor	91.6536	59.0159	0.0049
Sensor	99.2181	59.4329	-0.0003
Sensor	106.7778	59.9402	-0.0086
Sensor	114.3272	60.5568	-0.0204
Sensor	121.8651	61.2730	-0.0297
