#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: S2165SFU
Date: 2023-04-20T17:36:22.209Z
Institute: SFU
Operator: ps
Instrument type: Smartscope_Flash_302
Run Number: 1
Measurement program version: v1
#---Bow
#Location	X [mm]	Y [mm]	Z [mm]
Sensor	0.9977	0.4971	-0.0014
Sensor	9.3486	-0.2669	-0.0016
Sensor	17.7061	-0.9257	0.0002
Sensor	26.0713	-1.4747	0.0017
Sensor	34.4433	-1.9137	0.0028
Sensor	42.8200	-2.2438	0.0032
Sensor	51.2000	-2.4640	0.0034
Sensor	59.5828	-2.5734	0.0030
Sensor	67.9658	-2.5745	0.0017
Sensor	76.3490	-2.4640	0.0014
Sensor	84.7284	-2.2453	0.0003
Sensor	93.1056	-1.9148	-0.0008
Sensor	101.4768	-1.4767	-0.0017
Sensor	109.8416	-0.9278	-0.0028
Sensor	118.1991	-0.2685	-0.0047
Sensor	126.5469	0.4992	-0.0065
Sensor	43.2684	6.4491	0.0016
Sensor	51.5365	6.2367	0.0016
Sensor	59.8053	6.1304	0.0009
Sensor	4.4459	29.2122	-0.0045
Sensor	12.4169	28.4860	-0.0029
Sensor	20.3973	27.8651	-0.0015
Sensor	28.3854	27.3484	-0.0003
Sensor	36.3799	26.9364	0.0002
Sensor	44.3771	26.6301	0.0014
Sensor	52.3788	26.4285	0.0022
Sensor	60.3816	26.3312	0.0018
Sensor	68.3874	26.3393	0.0019
Sensor	76.3907	26.4517	0.0019
Sensor	84.3919	26.6693	0.0012
Sensor	92.3889	26.9919	0.0007
Sensor	100.3824	27.4191	-0.0001
Sensor	108.3694	27.9511	-0.0017
Sensor	116.3478	28.5884	-0.0033
Sensor	124.3174	29.3287	-0.0045
Sensor	5.1513	35.0785	-0.0040
Sensor	13.0473	34.3647	-0.0026
Sensor	20.9509	33.7515	-0.0014
Sensor	28.8612	33.2416	-0.0006
Sensor	36.7767	32.8358	0.0007
Sensor	44.6985	32.5334	0.0016
Sensor	52.6230	32.3352	0.0019
Sensor	60.5493	32.2405	0.0023
Sensor	68.4756	32.2511	0.0020
Sensor	76.4016	32.3639	0.0027
Sensor	84.3255	32.5809	0.0024
Sensor	92.2456	32.9018	0.0012
Sensor	100.1609	33.3276	0.0002
Sensor	108.0715	33.8565	-0.0012
Sensor	115.9720	34.4884	-0.0029
Sensor	123.8640	35.2236	-0.0045
Sensor	6.1889	43.7192	-0.0041
Sensor	13.9718	43.0174	-0.0025
Sensor	21.7609	42.4161	-0.0024
Sensor	29.5579	41.9162	-0.0012
Sensor	37.3605	41.5189	-0.0002
Sensor	45.1681	41.2245	0.0008
Sensor	52.9775	41.0311	0.0015
Sensor	60.7903	40.9404	0.0019
Sensor	68.6041	40.9524	0.0018
Sensor	76.4145	41.0672	0.0024
Sensor	84.2249	41.2830	0.0025
Sensor	92.0314	41.6019	0.0012
Sensor	99.8317	42.0242	0.0005
Sensor	107.6273	42.5466	-0.0007
Sensor	115.4157	43.1734	-0.0010
Sensor	123.1938	43.9014	-0.0033
Sensor	7.2124	52.3732	-0.0023
Sensor	14.8811	51.6843	-0.0020
Sensor	22.5581	51.0938	-0.0019
Sensor	30.2415	50.6037	-0.0009
Sensor	37.9293	50.2145	-0.0002
Sensor	45.6226	49.9261	0.0002
Sensor	53.3188	49.7383	0.0016
Sensor	61.0161	49.6513	0.0019
Sensor	68.7157	49.6658	0.0027
Sensor	76.4126	49.7808	0.0030
Sensor	84.1086	49.9965	0.0032
Sensor	91.8010	50.3133	0.0024
Sensor	99.4875	50.7312	0.0016
Sensor	107.1690	51.2500	0.0008
Sensor	114.8427	51.8689	-0.0013
Sensor	122.5069	52.5888	-0.0030
Sensor	8.2600	61.0184	-0.0003
Sensor	15.8146	60.3435	-0.0017
Sensor	23.3775	59.7639	-0.0021
Sensor	30.9458	59.2841	-0.0018
Sensor	38.5227	58.9030	-0.0011
Sensor	46.1003	58.6223	-0.0004
Sensor	53.6830	58.4402	0.0011
Sensor	61.2664	58.3571	0.0018
Sensor	68.8510	58.3734	0.0022
Sensor	76.4350	58.4899	0.0028
Sensor	84.0158	58.7050	0.0025
Sensor	91.5944	59.0198	0.0019
Sensor	99.1666	59.4342	0.0014
Sensor	106.7339	59.9470	0.0007
Sensor	114.2938	60.5598	-0.0003
Sensor	121.8451	61.2715	-0.0027
