#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: 20USEM20000023
Date: 2022-08-04T19:43:00.717397Z
Institute: SFU
Operator: AR
Instrument Type: Smartscope_Flash_302
Run Number: 99
Measurement program version: v1
#---Bow
#Locations	X[mm]	Y[mm]	Z[mm]
Sensor	9.3497	-0.2677	0.0176
Sensor	17.7071	-0.9263	0.0155
Sensor	26.0717	-1.4754	0.0100
Sensor	34.4440	-1.9149	0.0078
Sensor	42.8210	-2.2449	0.0055
Sensor	51.2012	-2.4647	0.0027
Sensor	59.5836	-2.5755	0.0021
Sensor	67.9669	-2.5748	-0.0012
Sensor	76.3491	-2.4652	0.0031
Sensor	84.7296	-2.2461	0.0100
Sensor	93.1053	-1.9164	0.0175
Sensor	101.4780	-1.4770	0.0211
Sensor	109.8433	-0.9280	0.0217
Sensor	118.2005	-0.2692	0.0216
Sensor	126.5481	0.4987	0.0215
Sensor	43.2694	6.4502	-0.0115
Sensor	51.5351	6.2353	-0.0171
Sensor	59.8043	6.1294	-0.0198
Sensor	4.4451	29.2105	-0.0109
Sensor	12.4172	28.4846	-0.0092
Sensor	20.3962	27.8637	-0.0038
Sensor	28.3819	27.3469	-0.0079
Sensor	36.3776	26.9350	-0.0105
Sensor	44.3761	26.6287	-0.0109
Sensor	52.3776	26.4269	-0.0092
Sensor	60.3811	26.3292	-0.0139
Sensor	68.3854	26.3376	-0.0133
Sensor	76.3890	26.4500	-0.0160
Sensor	84.3903	26.6679	-0.0108
Sensor	92.3875	26.9906	-0.0143
Sensor	100.3806	27.4182	-0.0163
Sensor	108.3671	27.9499	-0.0101
Sensor	116.3468	28.5862	-0.0127
Sensor	124.3157	29.3280	-0.0133
Sensor	5.1499	35.0804	-0.0073
Sensor	13.0438	34.3631	-0.0103
Sensor	20.9470	33.7501	-0.0061
Sensor	28.8573	33.2407	-0.0017
Sensor	36.7736	32.8348	-0.0075
Sensor	44.6948	32.5327	-0.0085
Sensor	52.6192	32.3346	-0.0046
Sensor	60.5449	32.2402	-0.0038
Sensor	68.4719	32.2496	-0.0029
Sensor	76.3972	32.3630	-0.0076
Sensor	84.3218	32.5794	-0.0038
Sensor	92.2420	32.9010	-0.0066
Sensor	100.1567	33.3264	-0.0023
Sensor	108.0664	33.8545	-0.0029
Sensor	115.9685	34.4866	-0.0077
Sensor	123.8606	35.2227	-0.0053
Sensor	6.1911	43.7196	-0.0005
Sensor	13.9725	43.0162	0.0026
Sensor	21.7616	42.4143	0.0009
Sensor	29.5574	41.9148	0.0001
Sensor	37.3609	41.5174	0.0006
Sensor	45.1686	41.2220	0.0002
Sensor	52.9783	41.0293	0.0002
Sensor	60.7906	40.9389	0.0011
Sensor	68.6036	40.9497	-0.0011
Sensor	76.4150	41.0649	0.0014
Sensor	84.2251	41.2817	-0.0024
Sensor	92.0318	41.6011	-0.0035
Sensor	99.8321	42.0223	-0.0021
Sensor	107.6282	42.5461	-0.0037
Sensor	115.4154	43.1716	-0.0039
Sensor	123.1942	43.8991	-0.0114
Sensor	7.2190	52.3697	-0.0027
Sensor	14.8880	51.6790	-0.0020
Sensor	22.5641	51.0883	0.0075
Sensor	30.2464	50.5989	-0.0019
Sensor	37.9368	50.2088	0.0058
Sensor	45.6290	49.9209	0.0122
Sensor	53.3262	49.7332	0.0107
Sensor	61.0231	49.6464	0.0073
Sensor	68.7220	49.6609	0.0073
Sensor	76.4208	49.7752	0.0020
Sensor	84.1150	49.9923	0.0042
Sensor	91.8077	50.3083	0.0012
Sensor	99.4948	50.7266	0.0009
Sensor	107.1762	51.2450	-0.0015
Sensor	114.8500	51.8643	-0.0037
Sensor	122.5147	52.5838	-0.0053
Sensor	8.2589	61.0193	0.0049
Sensor	15.8145	60.3418	0.0101
Sensor	23.3763	59.7627	0.0112
Sensor	30.9445	59.2831	0.0078
Sensor	38.5200	58.9022	0.0073
Sensor	46.0993	58.6204	0.0082
Sensor	53.6815	58.4388	0.0127
Sensor	61.2663	58.3558	0.0049
Sensor	68.8501	58.3717	0.0042
Sensor	76.4341	58.4889	0.0060
Sensor	84.0149	58.7034	0.0076
Sensor	91.5929	59.0189	0.0082
Sensor	99.1660	59.4330	0.0073
Sensor	106.7330	59.9462	0.0085
Sensor	114.2924	60.5592	0.0100
Sensor	121.8440	61.2702	0.0043
