#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: M124TRIUMF
Date: 2023-04-20T17:36:58.093Z
Institute: SFU
Operator: ps
Instrument type: Smartscope_Flash_302
Run Number: 1
Measurement program version: v1
#---Bow
#Location	X [mm]	Y [mm]	Z [mm]
Sensor	1.0001	1.0000	0.0095
Sensor	10.3870	0.1522	0.0089
Sensor	19.7881	-0.5419	0.0090
Sensor	29.1993	-1.0821	0.0096
Sensor	38.6181	-1.4681	0.0083
Sensor	48.0421	-1.7001	0.0063
Sensor	57.4684	-1.7773	0.0009
Sensor	66.8948	-1.7006	-0.0004
Sensor	76.3187	-1.4694	-0.0012
Sensor	85.7375	-1.0840	-0.0037
Sensor	95.1486	-0.5445	-0.0076
Sensor	104.5499	0.1490	-0.0081
Sensor	113.9385	0.9963	-0.0040
Sensor	1.9800	9.2899	0.0021
Sensor	11.2309	8.4555	0.0051
Sensor	20.4958	7.7741	0.0054
Sensor	29.7708	7.2443	0.0040
Sensor	39.0532	6.8665	0.0025
Sensor	48.3405	6.6408	0.0009
Sensor	57.6303	6.5671	-0.0022
Sensor	66.9217	6.6451	-0.0028
Sensor	76.2073	6.8759	-0.0051
Sensor	85.4895	7.2583	-0.0040
Sensor	94.7658	7.7923	-0.0040
Sensor	104.0290	8.4786	-0.0062
Sensor	113.2812	9.3164	-0.0072
Sensor	2.9584	17.5802	0.0033
Sensor	12.0735	16.7623	0.0044
Sensor	21.2026	16.0935	0.0044
Sensor	30.3414	15.5743	0.0031
Sensor	39.4871	15.2049	0.0035
Sensor	48.6382	14.9849	0.0024
Sensor	57.7912	14.9150	0.0007
Sensor	66.9444	14.9950	-0.0025
Sensor	76.0948	15.2247	-0.0018
Sensor	85.2406	15.6042	-0.0055
Sensor	94.3786	16.1334	-0.0057
Sensor	103.5069	16.8121	-0.0053
Sensor	112.6227	17.6402	-0.0062
Sensor	66.4282	30.1802	0.0003
Sensor	75.3477	30.4002	-0.0007
Sensor	84.2639	30.7665	-0.0016
Sensor	93.1729	31.2788	-0.0040
Sensor	102.0723	31.9373	-0.0049
Sensor	110.9597	32.7416	-0.0052
Sensor	30.1281	32.6685	0.0026
Sensor	39.0115	32.2927	0.0021
Sensor	47.9016	32.0624	0.0001
Sensor	5.7385	41.0301	-0.0024
Sensor	14.4880	40.2530	0.0010
Sensor	23.2508	39.6194	0.0012
Sensor	32.0227	39.1297	-0.0004
Sensor	40.8015	38.7840	0.0025
Sensor	49.5849	38.5822	0.0016
Sensor	33.1382	44.9886	0.0016
Sensor	41.8191	44.6605	0.0006
Sensor	50.5058	44.4747	0.0000
Sensor	59.1944	44.4314	-0.0003
Sensor	67.8827	44.5308	-0.0020
Sensor	66.1583	46.5301	-0.0002
Sensor	74.8095	46.7435	-0.0017
Sensor	83.4577	47.0985	0.0007
Sensor	92.0989	47.5956	0.0006
Sensor	100.7307	48.2343	-0.0032
Sensor	109.3509	49.0144	-0.0034
Sensor	8.4900	64.2901	-0.0083
Sensor	16.8575	63.5550	-0.0042
Sensor	25.2377	62.9570	-0.0023
Sensor	33.6265	62.4968	0.0001
Sensor	42.0218	62.1740	-0.0033
Sensor	50.4212	61.9894	-0.0036
Sensor	58.8226	61.9423	-0.0024
Sensor	67.2235	62.0331	-0.0000
Sensor	75.6219	62.2617	0.0013
Sensor	84.0154	62.6280	0.0026
Sensor	92.4017	63.1320	0.0025
Sensor	100.7786	63.7736	0.0034
Sensor	109.1439	64.5524	0.0065
Sensor	8.8487	67.3417	-0.0047
Sensor	17.1659	66.6083	-0.0045
Sensor	25.4961	66.0128	-0.0060
Sensor	33.8348	65.5540	-0.0011
Sensor	42.1799	65.2321	-0.0016
Sensor	50.5291	65.0472	-0.0018
Sensor	58.8805	64.9994	-0.0041
Sensor	67.2311	65.0884	-0.0029
Sensor	75.5794	65.3143	0.0004
Sensor	83.9228	65.6773	0.0032
Sensor	92.2591	66.1772	0.0015
Sensor	100.5862	66.8135	0.0041
Sensor	108.9017	67.5867	0.0077
Sensor	9.8322	75.6347	-0.0069
Sensor	18.0133	74.9185	-0.0082
Sensor	26.2070	74.3380	-0.0051
Sensor	34.4090	73.8920	-0.0057
Sensor	42.6173	73.5807	-0.0028
Sensor	50.8295	73.4041	-0.0023
Sensor	59.0436	73.3621	-0.0032
Sensor	67.2571	73.4549	0.0002
Sensor	75.4683	73.6827	0.0021
Sensor	83.6744	74.0449	0.0021
Sensor	91.8739	74.5433	0.0043
Sensor	100.0634	75.1731	0.0082
Sensor	108.2419	75.9387	0.0131
Sensor	10.8100	83.4550	-0.0062
Sensor	18.8644	82.7551	-0.0044
Sensor	26.9294	82.1877	-0.0019
Sensor	35.0025	81.7525	-0.0031
Sensor	43.0817	81.4498	-0.0029
Sensor	51.1648	81.2796	-0.0044
Sensor	59.2495	81.2423	-0.0004
Sensor	67.3338	81.3375	0.0006
Sensor	75.4155	81.5653	0.0051
Sensor	83.4923	81.9257	0.0075
Sensor	91.5620	82.4184	0.0095
Sensor	99.6228	83.0436	0.0134
Sensor	107.6721	83.8009	0.0134
