#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: 20USEM20000023Akmal
Date: 2022-08-11T22:24:03.372333Z
Institute: SFU
Operator: AR
Instrument Type: Smartscope_Flash_302
Run Number: 3
Measurement program version: v1
#---Bow
#Locations	X[mm]	Y[mm]	Z[mm]
Sensor	0.9984	0.4988	-0.0330
Sensor	9.3524	-0.2671	-0.0198
Sensor	17.7102	-0.9257	-0.0085
Sensor	26.0722	-1.4734	-0.0046
Sensor	34.4446	-1.9132	-0.0020
Sensor	42.8233	-2.2445	0.0027
Sensor	51.2028	-2.4629	0.0075
Sensor	59.5848	-2.5738	0.0082
Sensor	67.9681	-2.5746	0.0130
Sensor	76.3438	-2.5121	0.0178
Sensor	84.7302	-2.2443	0.0172
Sensor	93.1074	-1.9147	0.0202
Sensor	101.4807	-1.4755	0.0176
Sensor	109.8441	-0.9253	0.0079
Sensor	118.1995	-0.2679	-0.0072
Sensor	126.5486	0.4988	-0.0290
Sensor	43.2829	6.4467	-0.0008
Sensor	51.5610	6.2340	0.0019
Sensor	59.8363	6.1282	0.0044
Sensor	4.4898	29.2071	-0.0366
Sensor	12.4036	28.4874	-0.0162
Sensor	20.3991	27.8645	-0.0076
Sensor	28.3989	27.3474	0.0003
Sensor	36.4110	26.9278	0.0086
Sensor	44.4181	26.6255	0.0098
Sensor	52.4244	26.4229	0.0099
Sensor	60.4352	26.3254	0.0184
Sensor	68.4446	26.3312	0.0120
Sensor	76.4516	26.4470	0.0083
Sensor	84.4525	26.6645	0.0101
Sensor	92.4462	26.9844	0.0069
Sensor	100.4341	27.4140	0.0006
Sensor	108.4167	27.9467	-0.0072
Sensor	116.3842	28.5846	-0.0246
Sensor	124.3440	29.3262	-0.0427
Sensor	5.1804	35.0735	-0.0385
Sensor	13.0960	34.3588	-0.0220
Sensor	20.9369	33.7543	-0.0016
Sensor	28.8625	33.2413	0.0029
Sensor	36.7926	32.8355	0.0049
Sensor	44.7222	32.5313	0.0125
Sensor	52.6540	32.3288	0.0141
Sensor	60.5842	32.2366	0.0113
Sensor	68.5153	32.2439	0.0178
Sensor	76.4441	32.3596	0.0143
Sensor	84.3679	32.5725	0.0114
Sensor	92.2856	32.8988	0.0083
Sensor	100.1941	33.3221	0.0061
Sensor	108.0970	33.8551	-0.0064
Sensor	115.9898	34.4843	-0.0236
Sensor	123.8702	35.2236	-0.0332
Sensor	6.2036	43.7152	-0.0336
Sensor	14.0049	43.0137	-0.0177
Sensor	21.8121	42.4020	-0.0108
Sensor	29.5455	41.9185	0.0018
Sensor	37.3580	41.5187	0.0028
Sensor	45.1740	41.2248	0.0147
Sensor	52.9921	41.0290	0.0240
Sensor	60.8100	40.9400	0.0175
Sensor	68.6288	40.9493	0.0171
Sensor	76.4379	41.0630	0.0133
Sensor	84.2464	41.2837	0.0095
Sensor	92.0489	41.6045	0.0061
Sensor	99.8472	42.0236	-0.0000
Sensor	107.6349	42.5465	-0.0089
Sensor	115.4117	43.1753	-0.0211
Sensor	123.2553	43.8942	-0.0332
Sensor	7.2272	52.3698	-0.0292
Sensor	14.9116	51.6777	-0.0098
Sensor	22.6046	51.0836	-0.0051
Sensor	30.2993	50.5915	0.0039
Sensor	38.0002	50.1999	0.0114
Sensor	45.6290	49.9244	0.0186
Sensor	53.3302	49.7340	0.0190
Sensor	61.0324	49.6504	0.0180
Sensor	68.7348	49.6611	0.0182
Sensor	76.4328	49.7763	0.0158
Sensor	84.1241	49.9929	0.0149
Sensor	91.8141	50.3103	0.0099
Sensor	99.4969	50.7318	-0.0019
Sensor	107.1686	51.2478	-0.0085
Sensor	114.9077	51.8596	-0.0224
Sensor	122.5613	52.5802	-0.0340
Sensor	8.2516	61.0136	-0.0208
Sensor	15.8213	60.3406	-0.0104
Sensor	23.3976	59.7612	-0.0009
Sensor	30.9806	59.2854	0.0040
Sensor	38.5673	58.8983	0.0117
Sensor	46.1516	58.6156	0.0161
Sensor	53.7421	58.4331	0.0227
Sensor	61.3275	58.3501	0.0209
Sensor	68.9170	58.3611	0.0190
Sensor	76.5001	58.4836	0.0231
Sensor	84.0784	58.6986	0.0240
Sensor	91.6530	59.0181	0.0056
Sensor	99.2182	59.4340	-0.0014
Sensor	106.7786	59.9398	-0.0085
Sensor	114.3276	60.5579	-0.0192
Sensor	121.8653	61.2730	-0.0279
