#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: 20USEM2000023Coax26
Date: 2022-08-10T00:42:47.001518Z
Institute: SFU
Operator: AR
Instrument Type: Smartscope_Flash_302
Run Number: 08093
Measurement program version: v1
#---Bow
#Locations	X[mm]	Y[mm]	Z[mm]
Sensor	9.3506	-0.2678	-0.0643
Sensor	17.7079	-0.9262	-0.0335
Sensor	26.0713	-1.4754	-0.0129
Sensor	34.4436	-1.9148	0.0041
Sensor	42.8208	-2.2443	0.0170
Sensor	51.2004	-2.4640	0.0260
Sensor	59.5831	-2.5743	0.0315
Sensor	67.9664	-2.5747	0.0339
Sensor	76.3485	-2.4650	0.0362
Sensor	84.7291	-2.2460	0.0357
Sensor	93.1059	-1.9165	0.0270
Sensor	101.4774	-1.4769	0.0079
Sensor	109.8432	-0.9279	-0.0203
Sensor	118.2005	-0.2692	-0.0585
Sensor	126.5485	0.4975	-0.1067
Sensor	43.2697	6.4504	0.0206
Sensor	51.5353	6.2363	0.0201
Sensor	59.8044	6.1296	0.0230
Sensor	4.4456	29.2093	-0.0987
Sensor	12.4161	28.4846	-0.0621
Sensor	20.3954	27.8636	-0.0148
Sensor	28.3836	27.3474	0.0033
Sensor	36.3768	26.9359	0.0182
Sensor	44.3749	26.6293	0.0310
Sensor	52.3770	26.4272	0.0439
Sensor	60.3802	26.3302	0.0446
Sensor	68.3839	26.3374	0.0501
Sensor	76.3877	26.4506	0.0427
Sensor	84.3899	26.6683	0.0350
Sensor	92.3871	26.9913	0.0227
Sensor	100.3797	27.4183	0.0053
Sensor	108.3667	27.9500	-0.0190
Sensor	116.3462	28.5869	-0.0534
Sensor	124.3153	29.3275	-0.0933
Sensor	5.1494	35.0796	-0.0972
Sensor	13.0446	34.3636	-0.0688
Sensor	20.9470	33.7498	-0.0227
Sensor	28.8572	33.2405	0.0049
Sensor	36.7735	32.8351	0.0179
Sensor	44.6939	32.5333	0.0309
Sensor	52.6188	32.3339	0.0414
Sensor	60.5450	32.2405	0.0477
Sensor	68.4727	32.2496	0.0499
Sensor	76.3984	32.3630	0.0420
Sensor	84.3218	32.5804	0.0359
Sensor	92.2426	32.9006	0.0195
Sensor	100.1572	33.3264	0.0016
Sensor	108.0657	33.8547	-0.0254
Sensor	115.9685	34.4871	-0.0561
Sensor	123.8623	35.2224	-0.0894
Sensor	6.1893	43.7197	-0.0830
Sensor	13.9707	43.0166	-0.0497
Sensor	21.7610	42.4143	-0.0304
Sensor	29.5584	41.9147	-0.0008
Sensor	37.3597	41.5171	0.0239
Sensor	45.1677	41.2218	0.0411
Sensor	52.9779	41.0297	0.0456
Sensor	60.7892	40.9394	0.0501
Sensor	68.6026	40.9507	0.0527
Sensor	76.4145	41.0645	0.0492
Sensor	84.2248	41.2817	0.0368
Sensor	92.0315	41.6000	0.0194
Sensor	99.8318	42.0227	0.0024
Sensor	107.6280	42.5455	-0.0217
Sensor	115.4146	43.1721	-0.0484
Sensor	123.1934	43.8992	-0.0859
Sensor	7.2208	52.3698	-0.0766
Sensor	14.8877	51.6788	-0.0484
Sensor	22.5638	51.0889	-0.0204
Sensor	30.2456	50.5986	-0.0029
Sensor	37.9362	50.2096	0.0189
Sensor	45.6285	49.9207	0.0380
Sensor	53.3250	49.7333	0.0514
Sensor	61.0223	49.6467	0.0530
Sensor	68.7213	49.6613	0.0538
Sensor	76.4205	49.7768	0.0476
Sensor	84.1157	49.9920	0.0410
Sensor	91.8071	50.3091	0.0256
Sensor	99.4949	50.7266	0.0051
Sensor	107.1758	51.2452	-0.0202
Sensor	114.8508	51.8642	-0.0460
Sensor	122.5144	52.5835	-0.0773
Sensor	8.2594	61.0200	-0.0692
Sensor	15.8131	60.3417	-0.0426
Sensor	23.3762	59.7628	-0.0255
Sensor	30.9450	59.2829	0.0006
Sensor	38.5205	58.9016	0.0199
Sensor	46.0990	58.6206	0.0342
Sensor	53.6825	58.4392	0.0407
Sensor	61.2660	58.3559	0.0528
Sensor	68.8496	58.3724	0.0566
Sensor	76.4329	58.4892	0.0534
Sensor	84.0156	58.7037	0.0425
Sensor	91.5925	59.0201	0.0239
Sensor	99.1652	59.4328	0.0093
Sensor	106.7335	59.9461	-0.0137
Sensor	114.2927	60.5597	-0.0357
Sensor	121.8438	61.2699	-0.0657
